"","voted_for","gender","education"
"4539","Biden","Female","Post-grad"
"4540","Biden","Male","High school graduate"
"4541","Biden","Female","Some college"
"4542","Biden","Female","Post-grad"
"4543","Trump","Female","2-year"
"4544","Trump","Female","Some college"
"4545","Trump","Female","Post-grad"
"4546","Biden","Male","High school graduate"
"4547","Biden","Male","High school graduate"
"4548","Biden","Female","4-year"
"4549","Trump","Female","Some college"
"4550","Trump","Male","4-year"
"4551","Biden","Male","Post-grad"
"4552","Trump","Female","2-year"
"4553","Biden","Male","4-year"
"4554","Trump","Male","4-year"
"4555","Biden","Female","High school graduate"
"4556","Biden","Female","4-year"
"4557","Trump","Female","4-year"
"4558","Biden","Female","2-year"
"4559","Trump","Male","4-year"
"4560","Trump","Male","4-year"
"4561","Trump","Female","4-year"
"4562","Biden","Male","4-year"
"4563","Biden","Female","4-year"
"4564","Trump","Male","2-year"
"4565","Biden","Female","2-year"
"4566","Biden","Female","High school graduate"
"4567","Trump","Male","4-year"
"4568","Trump","Male","Some college"
"4569","Biden","Female","Post-grad"
"4570","Trump","Male","4-year"
"4571","Biden","Female","2-year"
"4572","Biden","Male","4-year"
"4573","Trump","Female","2-year"
"4574","Trump","Female","Some college"
"4575","Trump","Male","High school graduate"
"4576","Biden","Male","Some college"
"4577","Trump","Female","Some college"
"4578","Trump","Male","Some college"
"4579","Biden","Male","Post-grad"
"4580","Biden","Female","4-year"
"4581","Biden","Female","4-year"
"4582","Trump","Female","4-year"
"4583","Biden","Male","Post-grad"
"4584","Biden","Male","4-year"
"4585","Biden","Female","4-year"
"4586","Biden","Male","4-year"
"4587","Biden","Male","4-year"
"4588","Trump","Female","Some college"
"4589","Trump","Female","Some college"
"4590","Biden","Female","Post-grad"
"4591","Biden","Male","High school graduate"
"4592","Biden","Male","No HS"
"4593","Biden","Male","4-year"
"4594","Biden","Male","Post-grad"
"4595","Trump","Male","Some college"
"4596","Biden","Male","4-year"
"4597","Biden","Male","Post-grad"
"4598","Trump","Male","Some college"
"4599","Trump","Female","2-year"
"4600","Biden","Female","4-year"
"4601","Biden","Male","High school graduate"
"4602","Biden","Female","4-year"
"4603","Trump","Female","Some college"
"4604","Biden","Female","4-year"
"4605","Trump","Male","4-year"
"4606","Trump","Male","Post-grad"
"4607","Trump","Male","Post-grad"
"4608","Biden","Female","High school graduate"
"4609","Biden","Female","4-year"
"4610","Trump","Female","Some college"
"4611","Trump","Male","No HS"
"4612","Biden","Male","Post-grad"
"4613","Biden","Female","Some college"
"4614","Trump","Female","High school graduate"
"4615","Trump","Female","High school graduate"
"4616","Biden","Male","Some college"
"4617","Biden","Female","4-year"
"4618","Trump","Female","Post-grad"
"4619","Biden","Female","4-year"
"4620","Biden","Male","Post-grad"
"4621","Trump","Female","High school graduate"
"4622","Trump","Male","4-year"
"4623","Biden","Female","Some college"
"4624","Trump","Male","4-year"
"4625","Trump","Female","2-year"
"4626","Trump","Female","2-year"
"4627","Trump","Male","Some college"
"4628","Biden","Male","Post-grad"
"4629","Biden","Female","Post-grad"
"4630","Biden","Male","Post-grad"
"4631","Trump","Male","High school graduate"
"4632","Trump","Female","4-year"
"4633","Biden","Female","4-year"
"4634","Trump","Female","2-year"
"4635","Biden","Male","4-year"
"4636","Biden","Female","Post-grad"
"4637","Trump","Male","Some college"
"4638","Biden","Female","High school graduate"
"4639","Biden","Male","4-year"
"4640","Biden","Male","4-year"
"4641","Biden","Female","High school graduate"
"4642","Biden","Male","4-year"
"4643","Biden","Male","4-year"
"4644","Trump","Male","Post-grad"
"4645","Biden","Female","Some college"
"4646","Biden","Female","4-year"
"4647","Biden","Female","2-year"
"4648","Trump","Male","4-year"
"4649","Trump","Male","Post-grad"
"4650","Biden","Female","Some college"
"4651","Trump","Male","Post-grad"
"4652","Trump","Female","4-year"
"4653","Biden","Female","Some college"
"4654","Trump","Female","2-year"
"4655","Trump","Female","4-year"
"4656","Trump","Male","4-year"
"4657","Trump","Male","4-year"
"4658","Trump","Male","Some college"
"4659","Trump","Male","Some college"
"4660","Biden","Female","4-year"
"4661","Biden","Female","Some college"
"4662","Biden","Male","Post-grad"
"4663","Trump","Female","Some college"
"4664","Trump","Male","4-year"
"4665","Biden","Female","Post-grad"
"4666","Trump","Female","Some college"
"4667","Biden","Male","High school graduate"
"4668","Trump","Female","4-year"
"4669","Biden","Female","4-year"
"4670","Biden","Female","2-year"
"4671","Trump","Female","Some college"
"4672","Biden","Female","Post-grad"
"4673","Trump","Female","Some college"
"4674","Biden","Female","High school graduate"
"4675","Trump","Male","Some college"
"4676","Biden","Female","4-year"
"4677","Trump","Female","Some college"
"4678","Biden","Female","2-year"
"4679","Biden","Female","4-year"
"4680","Biden","Male","4-year"
"4681","Biden","Male","4-year"
"4682","Biden","Male","4-year"
"4683","Biden","Female","Some college"
"4684","Trump","Female","High school graduate"
"4685","Trump","Female","4-year"
"4686","Trump","Female","High school graduate"
"4687","Trump","Male","Some college"
"4688","Trump","Female","High school graduate"
"4689","Biden","Female","2-year"
"4690","Biden","Male","Post-grad"
"4691","Biden","Female","High school graduate"
"4692","Biden","Male","Some college"
"4693","Trump","Female","High school graduate"
"4694","Biden","Male","Some college"
"4695","Trump","Female","Some college"
"4696","Trump","Female","Some college"
"4697","Biden","Female","Some college"
"4698","Trump","Male","High school graduate"
"4699","Biden","Male","Post-grad"
"4700","Biden","Male","4-year"
"4701","Biden","Female","Post-grad"
"4702","Trump","Male","High school graduate"
"4703","Trump","Male","Some college"
"4704","Biden","Female","Post-grad"
"4705","Trump","Male","4-year"
"4706","Biden","Female","Post-grad"
"4707","Trump","Male","2-year"
"4708","Trump","Male","High school graduate"
"4709","Biden","Male","Post-grad"
"4710","Trump","Female","High school graduate"
"4711","Biden","Male","2-year"
"4712","Trump","Female","4-year"
"4713","Trump","Male","High school graduate"
"4714","Trump","Male","Some college"
"4715","Biden","Male","4-year"
"4716","Trump","Female","2-year"
"4717","Trump","Female","2-year"
"4718","Trump","Female","2-year"
"4719","Biden","Female","Post-grad"
"4720","Trump","Male","High school graduate"
"4721","Trump","Male","4-year"
"4722","Trump","Female","4-year"
"4723","Biden","Male","2-year"
"4724","Biden","Male","Post-grad"
"4725","Biden","Female","No HS"
"4726","Trump","Male","High school graduate"
"4727","Biden","Female","Some college"
"4728","Trump","Female","4-year"
"4729","Trump","Male","Some college"
"4730","Trump","Female","High school graduate"
"4731","Biden","Male","4-year"
"4732","Biden","Male","Post-grad"
"4733","Biden","Male","4-year"
"4734","Biden","Female","Some college"
"4735","Biden","Male","Some college"
"4736","Biden","Male","High school graduate"
"4737","Biden","Male","2-year"
"4738","Biden","Female","4-year"
"4739","Biden","Female","Post-grad"
"4740","Trump","Female","2-year"
"4741","Biden","Female","Post-grad"
"4742","Biden","Male","High school graduate"
"4743","Biden","Male","4-year"
"4744","Biden","Female","2-year"
"4745","Biden","Female","Post-grad"
"4746","Trump","Male","Post-grad"
"4747","Trump","Female","4-year"
"4748","Trump","Male","Some college"
"4749","Trump","Female","4-year"
"4750","Trump","Female","Some college"
"4751","Biden","Female","Post-grad"
"4752","Biden","Female","4-year"
"4753","Biden","Female","High school graduate"
"4754","Biden","Female","4-year"
"4755","Biden","Male","Some college"
"4756","Biden","Female","High school graduate"
"4757","Trump","Female","4-year"
"4758","Biden","Female","High school graduate"
"4759","Biden","Female","Some college"
"4760","Biden","Female","4-year"
"4761","Biden","Female","4-year"
"4762","Trump","Female","4-year"
"4763","Biden","Female","Some college"
"4764","Trump","Female","Post-grad"
"4765","Biden","Female","4-year"
"4766","Biden","Female","Some college"
"4767","Biden","Female","4-year"
"4768","Trump","Female","High school graduate"
"4769","Biden","Male","4-year"
"4770","Biden","Female","4-year"
"4771","Biden","Female","4-year"
"4772","Trump","Male","High school graduate"
"4773","Trump","Female","Some college"
"4774","Trump","Male","4-year"
"4775","Biden","Male","Post-grad"
"4776","Trump","Female","Some college"
"4777","Biden","Female","Post-grad"
"4778","Trump","Male","High school graduate"
"4779","Trump","Male","Post-grad"
"4780","Biden","Female","4-year"
"4781","Biden","Female","4-year"
"4782","Trump","Male","High school graduate"
"4783","Biden","Female","4-year"
"4784","Biden","Female","4-year"
"4785","Trump","Male","4-year"
"4786","Biden","Female","4-year"
"4787","Biden","Female","Post-grad"
"4788","Trump","Female","High school graduate"
"4789","Biden","Male","Some college"
"4790","Trump","Male","4-year"
"4791","Trump","Male","Some college"
"4792","Biden","Female","4-year"
"4793","Trump","Female","Post-grad"
"4794","Biden","Female","Post-grad"
"4795","Biden","Female","4-year"
"4796","Biden","Female","4-year"
"4797","Biden","Female","2-year"
"4798","Biden","Female","High school graduate"
"4799","Trump","Male","High school graduate"
"4800","Biden","Male","High school graduate"
"4801","Biden","Female","4-year"
"4802","Biden","Female","4-year"
"4803","Trump","Female","High school graduate"
"4804","Biden","Female","Some college"
"4805","Biden","Male","4-year"
"4806","Trump","Male","Post-grad"
"4807","Biden","Female","4-year"
"4808","Trump","Female","Post-grad"
"4809","Trump","Female","Some college"
"4810","Biden","Female","High school graduate"
"4811","Biden","Female","Post-grad"
"4812","Biden","Male","4-year"
"4813","Biden","Male","Some college"
"4814","Biden","Male","4-year"
"4815","Trump","Female","High school graduate"
"4816","Biden","Male","4-year"
"4817","Trump","Male","4-year"
"4818","Biden","Male","4-year"
"4819","Trump","Female","High school graduate"
"4820","Trump","Male","Post-grad"
"4821","Trump","Male","High school graduate"
"4822","Biden","Female","High school graduate"
"4823","Trump","Male","Some college"
"4824","Trump","Male","High school graduate"
"4825","Biden","Female","4-year"
"4826","Trump","Male","4-year"
"4827","Trump","Female","High school graduate"
"4828","Biden","Female","High school graduate"
"4829","Biden","Female","High school graduate"
"4830","Trump","Female","High school graduate"
"4831","Trump","Male","High school graduate"
"4832","Trump","Male","4-year"
"4833","Trump","Female","Some college"
"4834","Trump","Male","High school graduate"
"4835","Biden","Male","4-year"
"4836","Biden","Female","4-year"
"4837","Biden","Female","4-year"
"4838","Biden","Female","Post-grad"
"4839","Biden","Female","Some college"
"4840","Trump","Female","Post-grad"
"4841","Biden","Female","High school graduate"
"4842","Biden","Female","Post-grad"
"4843","Biden","Male","High school graduate"
"4844","Trump","Male","2-year"
"4845","Biden","Male","Post-grad"
"4846","Trump","Male","High school graduate"
"4847","Trump","Female","High school graduate"
"4848","Biden","Male","4-year"
"4849","Trump","Female","4-year"
"4850","Biden","Female","Some college"
"4851","Biden","Female","Some college"
"4852","Biden","Male","4-year"
"4853","Biden","Female","Some college"
"4854","Trump","Female","2-year"
"4855","Biden","Female","4-year"
"4856","Biden","Female","High school graduate"
"4857","Trump","Female","Some college"
"4858","Trump","Female","4-year"
"4859","Trump","Male","High school graduate"
"4860","Biden","Male","4-year"
"4861","Biden","Female","High school graduate"
"4862","Trump","Female","4-year"
"4863","Biden","Female","Some college"
"4864","Biden","Male","Post-grad"
"4865","Biden","Female","4-year"
"4866","Biden","Male","High school graduate"
"4867","Trump","Male","High school graduate"
"4868","Trump","Male","High school graduate"
"4869","Trump","Female","High school graduate"
"4870","Trump","Female","Some college"
"4871","Trump","Male","High school graduate"
"4872","Trump","Male","Some college"
"4873","Biden","Female","High school graduate"
"4874","Trump","Male","High school graduate"
"4875","Trump","Male","Some college"
"4876","Biden","Female","High school graduate"
"4877","Biden","Male","Post-grad"
"4878","Biden","Female","Post-grad"
"4879","Trump","Female","High school graduate"
"4880","Trump","Female","4-year"
"4881","Trump","Female","4-year"
"4882","Biden","Female","Post-grad"
"4883","Trump","Male","High school graduate"
"4884","Biden","Female","4-year"
"4885","Trump","Male","High school graduate"
"4886","Biden","Female","Some college"
"4887","Biden","Female","Some college"
"4888","Trump","Male","High school graduate"
"4889","Biden","Female","High school graduate"
"4890","Trump","Female","4-year"
"4891","Trump","Male","2-year"
"4892","Biden","Female","High school graduate"
"4893","Biden","Female","4-year"
"4894","Biden","Female","High school graduate"
"4895","Biden","Female","4-year"
"4896","Biden","Female","Post-grad"
"4897","Trump","Male","High school graduate"
"4898","Biden","Female","Post-grad"
"4899","Biden","Female","4-year"
"4900","Trump","Male","High school graduate"
"4901","Biden","Female","4-year"
"4902","Biden","Male","4-year"
"4903","Trump","Female","Some college"
"4904","Trump","Male","High school graduate"
"4905","Trump","Female","High school graduate"
"4906","Trump","Female","High school graduate"
"4907","Biden","Female","No HS"
"4908","Biden","Female","High school graduate"
"4909","Biden","Male","High school graduate"
"4910","Biden","Female","Post-grad"
"4911","Biden","Female","Some college"
"4912","Biden","Female","Post-grad"
"4913","Trump","Female","4-year"
"4914","Trump","Male","High school graduate"
"4915","Trump","Female","High school graduate"
"4916","Trump","Female","High school graduate"
"4917","Biden","Female","Some college"
"4918","Biden","Male","4-year"
"4919","Trump","Male","High school graduate"
"4920","Biden","Male","2-year"
"4921","Biden","Male","4-year"
"4922","Biden","Female","4-year"
"4923","Biden","Female","4-year"
"4924","Trump","Male","High school graduate"
